符号,産業分類項目名,industry_name,industry_code
010,管理，補助的経済活動を行う事業所,農業，林業,A
011,耕種農業,農業，林業,A
012,畜産農業,農業，林業,A
013,農業サービス業（園芸サービス業を除く）,農業，林業,A
014,園芸サービス業,農業，林業,A
020,管理，補助的経済活動を行う事業所,農業，林業,A
021,育林業,農業，林業,A
022,素材生産業,農業，林業,A
023,特用林産物生産業（きのこ類の栽培を除く）,農業，林業,A
024,林業サービス業,農業，林業,A
029,その他の林業,農業，林業,A
030,管理，補助的経済活動を行う事業所,漁業,B
031,海面漁業,漁業,B
032,内水面漁業,漁業,B
040,管理，補助的経済活動を行う事業所,漁業,B
041,海面養殖業,漁業,B
042,内水面養殖業,漁業,B
050,管理，補助的経済活動を行う事業所,鉱業，採石業，砂利採取業,C
051,金属鉱業,鉱業，採石業，砂利採取業,C
052,石炭・亜炭鉱業,鉱業，採石業，砂利採取業,C
053,原油・天然ガス鉱業,鉱業，採石業，砂利採取業,C
054,採石業，砂・砂利・玉石採取業,鉱業，採石業，砂利採取業,C
055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,鉱業，採石業，砂利採取業,C
059,その他の鉱業,鉱業，採石業，砂利採取業,C
060,管理，補助的経済活動を行う事業所,建設業,D
061,一般土木建築工事業,建設業,D
062,土木工事業（舗装工事業を除く）,建設業,D
063,舗装工事業,建設業,D
064,建築工事業（木造建築工事業を除く）,建設業,D
065,木造建築工事業,建設業,D
066,建築リフォーム工事業,建設業,D
070,管理，補助的経済活動を行う事業所,建設業,D
071,大工工事業,建設業,D
072,とび・土工・コンクリート工事業,建設業,D
073,鉄骨・鉄筋工事業,建設業,D
074,石工・れんが・タイル・ブロック工事業,建設業,D
075,左官工事業,建設業,D
076,板金・金物工事業,建設業,D
077,塗装工事業,建設業,D
078,床・内装工事業,建設業,D
079,その他の職別工事業,建設業,D
080,管理，補助的経済活動を行う事業所,建設業,D
081,電気工事業,建設業,D
082,電気通信・信号装置工事業,建設業,D
083,管工事業（さく井工事業を除く）,建設業,D
084,機械器具設置工事業,建設業,D
089,その他の設備工事業,建設業,D
090,管理，補助的経済活動を行う事業所,製造業,E
091,畜産食料品製造業,製造業,E
092,水産食料品製造業,製造業,E
093,野菜缶詰・果実缶詰・農産保存食料品製造業,製造業,E
094,調味料製造業,製造業,E
095,糖類製造業,製造業,E
096,精穀・製粉業,製造業,E
097,パン・菓子製造業,製造業,E
098,動植物油脂製造業,製造業,E
099,その他の食料品製造業,製造業,E
100,管理，補助的経済活動を行う事業所,製造業,E
101,清涼飲料製造業,製造業,E
102,酒類製造業,製造業,E
103,茶・コーヒー製造業（清涼飲料を除く）,製造業,E
104,製氷業,製造業,E
105,たばこ製造業,製造業,E
106,飼料・有機質肥料製造業,製造業,E
110,管理，補助的経済活動を行う事業所,製造業,E
111,製糸業，紡績業，化学繊維・ねん糸等製造業,製造業,E
112,織物業,製造業,E
113,ニット生地製造業,製造業,E
114,染色整理業,製造業,E
115,綱・網・レース・繊維粗製品製造業,製造業,E
116,外衣・シャツ製造業（和式を除く）,製造業,E
117,下着類製造業,製造業,E
118,和装製品・その他の衣服・繊維製身の回り品製造業,製造業,E
119,その他の繊維製品製造業,製造業,E
120,管理，補助的経済活動を行う事業所,製造業,E
121,製材業，木製品製造業,製造業,E
122,造作材・合板・建築用組立材料製造業,製造業,E
123,木製容器製造業（竹，とうを含む）,製造業,E
129,その他の木製品製造業（竹，とうを含む）,製造業,E
130,管理，補助的経済活動を行う事業所,製造業,E
131,家具製造業,製造業,E
132,宗教用具製造業,製造業,E
133,建具製造業,製造業,E
139,その他の家具・装備品製造業,製造業,E
140,管理，補助的経済活動を行う事業所,製造業,E
141,パルプ製造業,製造業,E
142,紙製造業,製造業,E
143,加工紙製造業,製造業,E
144,紙製品製造業,製造業,E
145,紙製容器製造業,製造業,E
149,その他のパルプ・紙・紙加工品製造業,製造業,E
150,管理，補助的経済活動を行う事業所,製造業,E
151,印刷業,製造業,E
152,製版業,製造業,E
153,製本業，印刷物加工業,製造業,E
159,印刷関連サービス業,製造業,E
160,管理，補助的経済活動を行う事業所,製造業,E
161,化学肥料製造業,製造業,E
162,無機化学工業製品製造業,製造業,E
163,有機化学工業製品製造業,製造業,E
164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,製造業,E
165,医薬品製造業,製造業,E
166,化粧品・歯磨・その他の化粧用調整品製造業,製造業,E
169,その他の化学工業,製造業,E
170,管理，補助的経済活動を行う事業所,製造業,E
171,石油精製業,製造業,E
172,潤滑油・グリース製造業（石油精製業によらないもの）,製造業,E
173,コークス製造業,製造業,E
174,舗装材料製造業,製造業,E
179,その他の石油製品・石炭製品製造業,製造業,E
180,管理，補助的経済活動を行う事業所,製造業,E
181,プラスチック板・棒・管・継手・異形押出製品製造業,製造業,E
182,プラスチックフィルム・シート・床材・合成皮革製造業,製造業,E
183,工業用プラスチック製品製造業,製造業,E
184,発泡・強化プラスチック製品製造業,製造業,E
185,プラスチック成形材料製造業（廃プラスチックを含む）,製造業,E
189,その他のプラスチック製品製造業,製造業,E
190,管理，補助的経済活動を行う事業所,製造業,E
191,タイヤ・チューブ製造業,製造業,E
192,ゴム製・プラスチック製履物・同附属品製造業,製造業,E
193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,製造業,E
199,その他のゴム製品製造業,製造業,E
200,管理，補助的経済活動を行う事業所,製造業,E
201,なめし革製造業,製造業,E
202,工業用革製品製造業（手袋を除く）,製造業,E
203,革製履物用材料・同附属品製造業,製造業,E
204,革製履物製造業,製造業,E
205,革製手袋製造業,製造業,E
206,かばん製造業,製造業,E
207,袋物製造業,製造業,E
208,毛皮製造業,製造業,E
209,その他のなめし革製品製造業,製造業,E
210,管理，補助的経済活動を行う事業所,製造業,E
211,ガラス・同製品製造業,製造業,E
212,セメント・同製品製造業,製造業,E
213,建設用粘土製品製造業（陶磁器製を除く）,製造業,E
214,陶磁器・同関連製品製造業,製造業,E
215,耐火物製造業,製造業,E
216,炭素・黒鉛製品製造業,製造業,E
217,研磨材・同製品製造業,製造業,E
218,骨材・石工品等製造業,製造業,E
219,その他の窯業・土石製品製造業,製造業,E
220,管理，補助的経済活動を行う事業所,製造業,E
221,製鉄業,製造業,E
222,製鋼・製鋼圧延業,製造業,E
223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,製造業,E
224,表面処理鋼材製造業,製造業,E
225,鉄素形材製造業,製造業,E
229,その他の鉄鋼業,製造業,E
230,管理，補助的経済活動を行う事業所,製造業,E
231,非鉄金属第１次製錬・精製業,製造業,E
232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,製造業,E
233,非鉄金属・同合金圧延業（抽伸，押出しを含む）,製造業,E
234,電線・ケーブル製造業,製造業,E
235,非鉄金属素形材製造業,製造業,E
239,その他の非鉄金属製造業,製造業,E
240,管理，補助的経済活動を行う事業所,製造業,E
241,ブリキ缶・その他のめっき板等製品製造業,製造業,E
