pref_num,Area,pref
01,北海道,北海道
02,東北,青森県
03,東北,岩手県
04,東北,宮城県
05,東北,秋田県
06,東北,山形県
07,東北,福島県
08,関東,茨城県
09,関東,栃木県
10,関東,群馬県
11,関東,埼玉県
12,関東,千葉県
13,関東,東京都
14,関東,神奈川県
15,中部,新潟県
16,中部,富山県
17,中部,石川県
18,中部,福井県
19,中部,山梨県
20,中部,長野県
21,中部,岐阜県
22,中部,静岡県
23,中部,愛知県
24,近畿,三重県
25,近畿,滋賀県
26,近畿,京都府
27,近畿,大阪府
28,近畿,兵庫県
29,近畿,奈良県
30,近畿,和歌山県
31,中国,鳥取県
32,中国,島根県
33,中国,岡山県
34,中国,広島県
35,中国,山口県
36,四国,徳島県
37,四国,香川県
38,四国,愛媛県
39,四国,高知県
40,九州・沖縄,福岡県
41,九州・沖縄,佐賀県
42,九州・沖縄,長崎県
43,九州・沖縄,熊本県
44,九州・沖縄,大分県
45,九州・沖縄,宮崎県
46,九州・沖縄,鹿児島県
47,九州・沖縄,沖縄県
